name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns,Yo-Yo Ma,spotify:track:0jOnZhF75V68VsBObWx2XO,174267,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,1
"Turandot / Act 3: ""Nessun dorma!""",Giacomo Puccini,Luciano Pavarotti,spotify:track:74WjYdm3Lvbwnds4thYPUU,177333,0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,4
The Sorcerer's Apprentice,Paul Dukas,Philharmonia Orchestra,spotify:track:2OHnoGjn6X6kDwzO7Rw0Y9,577440,0.351,0.206,1,-22.657,1,0.0597,0.797,0.255,0.0738,0.0839,130.415,4
Fanfare for the Common Man,Aaron Copland,Los Angeles Philharmonic,spotify:track:294IzNQIRp4soeVaQhows7,167160,0.223,0.165,10,-16.394,1,0.0504,0.984,0.95,0.348,0.0518,73.463,1
"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",Edvard Grieg,Denis Kozhukhin,spotify:track:0QTaXZRWdzfPdssiQThdCL,766213,0.312,0.0465,9,-26.438,0,0.0378,0.981,0.9,0.0872,0.0371,130.303,1
"Suite No.3 In D, BWV 1068: 2. Air",Johann Sebastian Bach,David Bell,spotify:track:7h6GoPvGHC9uzZJ8bNvfIq,365147,0.0753,0.07,2,-27.272,1,0.044,0.918,0.947,0.146,0.0625,79.801,1
"Symphony No.8 in B minor, D.759 - ""Unfinished"": 1. Allegro moderato",Franz Schubert,Wiener Philharmoniker,spotify:track:52GmHO5DikTIKc3yBmTTT1,906000,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,1
"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito",Pyotr Ilyich Tchaikovsky,Mariinsky Orchestra,spotify:track:1Xy6MHSaX3IUGGqst6RzYM,1252322,0.212,0.119,1,-20.511,1,0.0366,0.976,0.907,0.087,0.0396,84.346,1
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Ludwig van Beethoven,Louis Lortie,spotify:track:2Y95aUjHiOtgL8A6t52Ynl,442600,0.244,0.0021,1,-41.044,0,0.0417,0.995,0.86,0.161,0.187,64.364,1
Overture Candide,Leonard Bernstein,Los Angeles Philharmonic,spotify:track:7MdenBcztjoBdJUvFxBFeX,253440,0.298,0.346,3,-15.465,1,0.0416,0.824,0.694,0.295,0.482,78.989,1
"Andante festivo for Strings and Timpani, JS 34b",Jean Sibelius,Lahti Symphony Orchestra,spotify:track:3af6PvJHP8XlFMWeuN7bF8,337840,0.113,0.161,7,-20.046,1,0.0442,0.484,0.928,0.16,0.0365,65.062,1
"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",Franz Liszt,Lang Lang,spotify:track:2u9VGZmVz7Rm01SfDgzcfA,293147,0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,1
O Magnum Mysterium: O magnum mysterium,Morten Lauridsen,Chamber Choir Of Europe,spotify:track:0S0YKiEdR9cT9pYgEaTevF,415800,0.0623,0.0116,2,-27.893,1,0.0567,0.991,0.445,0.0816,0.0331,65.057,1
Scheherazade: The Tale of the Kalendar Prince,Nikolai Rimsky-Korsakov,Joakim Svenheden,spotify:track:04eShjKTWijeJJqGnhxpYK,200360,0.151,0.0639,11,-24.404,0,0.0439,0.962,0.603,0.466,0.0797,61.577,1
Barber: Adagio for Strings,Samuel Barber,Sir Simon Rattle,spotify:track:1CSaCKPIp2yCIDL3t7Fyau,537427,0.102,0.0733,10,-24.133,0,0.0488,0.974,0.859,0.28,0.0308,73.954,1
"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",Johann Sebastian Bach,Lang Lang,spotify:track:1ENZ1YHuOp5MMFJlWBQ6V7,140040,0.31,0.0555,7,-25.695,1,0.0395,0.994,0.906,0.121,0.566,70.515,1
Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),Alexander Borodin,Angelina Shvachka,spotify:track:4Dcm4KMuDz0l01weeSpD4J,642573,0.292,0.246,2,-14.96,1,0.0385,0.922,0.525,0.107,0.0859,109.766,1
"Requiem in D minor, K.626: 3. Sequentia: Confutatis",Wolfgang Amadeus Mozart,The Monteverdi Choir,spotify:track:4maWRmE0OaHvF245FtrjDD,147573,0.128,0.0386,0,-23.759,1,0.0434,0.991,0.94,0.104,0.0359,75.081,1
"Prokofiev: Romeo and Juliet, Op. 64, Act 1: No. 13, Dance of the Knights (Complete Ballet)",Sergei Prokofiev,André Previn,spotify:track:7HSs4srn1qnZhh7WRWBVOk,341693,0.209,0.101,0,-19.383,1,0.0403,0.927,0.9,0.0776,0.153,85.851,1
"Different Trains: America, Before the War",Steve Reich,Kronos Quartet,spotify:track:1YiBEdXvyWL9rupB3Cg4IQ,538800,0.398,0.373,1,-14.065,1,0.0524,0.889,0.193,0.121,0.61,106.688,4
"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",César Franck,Joshua Bell,spotify:track:0xX7kREWmOGBWzYNcpZwRN,364093,0.25,0.135,9,-18.615,1,0.0488,0.958,0.0349,0.0477,0.179,94.404,4
Adiemus,Karl Jenkins,Mike Ratledge,spotify:track:54CAG8n70kKVbFV6l1zF4G,237413,0.295,0.408,4,-16.632,0,0.0693,0.804,0.148,0.165,0.164,150.454,4
Khachaturian: Spartacus Suite No. 2: I. Adagio of Spartacus and Phrygia,Aram Khachaturian,London Symphony Orchestra,spotify:track:2nVt0n0aSj3AwZjakMvDHX,592040,0.165,0.106,8,-21.742,1,0.039,0.807,0.782,0.105,0.0336,105.651,1
Spiegel im Spiegel - Version for Violin and Piano,Arvo Pärt,Vladimir Spivakov,spotify:track:4wudbbceOZKjRlhTtbHvAs,636000,0.176,0.006,5,-42.238,1,0.0384,0.899,3.24e-05,0.105,0.0383,71.477,4
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1",Max Richter,Daniel Hope,spotify:track:5xbuJuQsTVheVZvX2AJVIv,151507,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,6
"Elégie in C Minor, Op. 24 (Arr. Parkin)",Gabriel Fauré,Sheku Kanneh-Mason,spotify:track:4QfYHdV8hMoyS9qKUct98q,455467,0.115,0.0422,8,-24.137,1,0.0404,0.966,0.919,0.0896,0.037,87.855,1
"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",Johannes Brahms,Arcadi Volodos,spotify:track:1Oo7XEqkrwifJn17aA0ocF,378733,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,1
"Ständchen in D Minor (After Schubert), S. 560",Franz Liszt,Lise de la Salle,spotify:track:3GecLjGMqzjmgkvy2v41Wf,357747,0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,1
"Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",Wolfgang Amadeus Mozart,Orpheus Chamber Orchestra,spotify:track:5Zf5prtvv7KRQ1J6kNn4C6,330293,0.191,0.0363,3,-25.31,1,0.0409,0.991,0.924,0.141,0.0372,69.754,1
Il barbiere di Siviglia: Overture (Sinfonia),Gioachino Rossini,Academy of St. Martin in the Fields,spotify:track:4dGkPPLnIdVgogqpyaAjbc,425000,0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,1
"Peer Gynt, Op. 23: Act II, 7, In the Hall of the Mountain King",Edvard Grieg,Esa-Pekka Salonen,spotify:track:3VQ7hwiEfaHDl3AySgyaiR,153267,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,1
"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor (Tema con variazioni. Quasi presto)",Niccolò Paganini,Itzhak Perlman,spotify:track:6cC6h5E351deEGFd7Kh9uy,268853,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,4
"Dolly, Op.56: 1. Berceuse",Gabriel Fauré,Katia Labèque,spotify:track:3NbAsIxDL0fVgNuCLD152P,176518,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,1
Theme From Jurassic Park,John Williams,,spotify:track:2TZbQZXOuR8osP2AK8yYMN,207427,0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,1
"Tsar Saltan, Op. 57: Flight of the Bumblebee",André Previn,,spotify:track:4fDodwdZ1LBDL2I2WCnUMY,84267,0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,1
"Symphonic Variations on an African Air, Op.63",Samuel Coleridge-Taylor,Royal Liverpool Philharmonic Orchestra,spotify:track:2ceu417OdiSxzR3K7B1n2M,1215573,0.224,0.0291,7,-26.167,1,0.0455,0.959,0.845,0.106,0.0538,121.131,1
The Rite of Spring: Part One: Adoration of the Earth: Introduction,Igor Stravinsky,Teodor Currentzis,spotify:track:1MiWGSGDC5mGoP3MNclZ7s,208587,0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,1
"Symphony No. 3 in C Minor, Op. 78 ""Organ Symphony"": 2b. Maestoso - Più allegro - Molto allegro",Camille Saint-Saëns,Peter Hurford,spotify:track:0XSRBlP49MgzBCYtGK2NYE,469053,0.223,0.227,0,-17.695,1,0.0343,0.871,0.891,0.063,0.127,103.618,1
"String Sextet in D Minor, Op. 70, ""Souvenir de Florence"": I. Allegro con spirito",Pyotr Ilyich Tchaikovsky,Jan Vogler,spotify:track:72jIJDADnBLJKXV2yxv5N0,626240,0.352,0.235,2,-16.235,1,0.0398,0.894,0.675,0.396,0.329,109.16,1
"Rêverie, L. 68: Rêverie",Claude Debussy,Jean-Yves Thibaudet,spotify:track:43bSKCMWHIuBsUVmQcDX1J,257000,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,1
Theme From Schindler's List,John Williams,Itzhak Perlman,spotify:track:42gZM6AQ9BDMaTyTmMDVlN,255693,0.142,0.113,2,-25.362,0,0.0415,0.859,0.838,0.107,0.0697,98.575,1
"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",Antonio Vivaldi,Joshua Bell,spotify:track:64ZxBE1ZgK4C0lGljXzDcG,204147,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,1
Young Person's Guide To The Orchestra,Benjamin Britten,Royal Philharmonic Orchestra,spotify:track:0w4LgJ5G1Xz5jLS3HX8oyq,1050893,0.218,0.117,0,-18.585,1,0.0489,0.94,0.861,0.15,0.0599,77.009,1
"Sonata for 2 pianos in D, K.448: 1. Allegro con spirito",Wolfgang Amadeus Mozart,Ingrid Haebler,spotify:track:5i7bLnNE0R3m1MNUY7UsqT,500500,0.377,0.173,9,-21.377,1,0.0329,0.991,0.909,0.103,0.558,132.187,1
"The Gadfly Suite, Op. 97a: VIII. Romance",Dmitri Shostakovich,Piers Lane,spotify:track:6VDHdry8ytOL2WWbePDxSD,195333,0.116,0.0694,0,-23.624,1,0.0497,0.969,0.644,0.109,0.0377,169.789,1
"Piano Concerto in C-Sharp Minor, FP 146: I. Allegretto commodo - Live",Francis Poulenc,Yannick Nézet-Séguin,spotify:track:6kg7bfwsTKzRqnBGGv4VqR,580253,0.193,0.0839,8,-22.849,1,0.0406,0.971,0.822,0.118,0.0569,85.556,1
"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",Pyotr Ilyich Tchaikovsky,Moscow Soloists,spotify:track:7uf3aFC1msj0t5cYImgOWy,209373,0.241,0.122,7,-22.411,1,0.0497,0.925,0.66,0.126,0.187,66.325,1
"Pelléas et Mélisande, Op. 80: 4. Sicilienne",Gabriel Fauré,Orchestre Symphonique de Montréal,spotify:track:0oIQl9tFpCiKBRavEIIGzo,233400,0.164,0.0194,3,-34.126,1,0.0434,0.938,0.859,0.0939,0.0581,101.708,1
"Goldberg Variations, BWV 988: Aria da capo - 1981 Version",Johann Sebastian Bach,Glenn Gould,spotify:track:1aTpzY2ggWHhPi8p2f56u1,224133,0.436,0.00518,7,-36.593,1,0.067,0.995,0.932,0.0788,0.275,135.286,1
On The Nature Of Daylight,Max Richter,Louisa Fuller,spotify:track:5DFUsGW4Cmltv8Spd0u1aV,371747,0.0891,0.341,10,-12.681,0,0.046,0.145,0.836,0.111,0.0334,85.231,1
"Ave Maria, D. 839",Franz Schubert,Renée Fleming,spotify:track:4GnVpbnWjHFrpXjAcPHvqM,256573,0.12,0.138,10,-15.538,1,0.048,0.994,0.686,0.11,0.043,67.894,1
"Symphony No.3 in F, Op.90: 1. Allegro con brio - Un poco sostenuto - Tempo I",Johannes Brahms,Gewandhausorchester Leipzig,spotify:track:7vJhOBgOkXyEJvw1vsU6HB,703720,0.156,0.0978,5,-16.326,1,0.0371,0.976,0.893,0.0854,0.0638,179.447,1
Sibelius : Finlandia Op.26,Jean Sibelius,Sakari Oramo,spotify:track:6HknRM996YMa7VSBFYlnPJ,485667,0.177,0.127,8,-19.167,1,0.0394,0.903,0.901,0.114,0.0612,149.698,1
Piazzolla: Libertango,Alison Balsom,,spotify:track:0mcgXc8P5GyGtP9aY7zir6,273562,0.367,0.316,9,-14.49,0,0.0429,0.927,0.779,0.113,0.242,149.089,1
"Mephisto Waltz No. 1, S. 514",Franz Liszt,Khatia Buniatishvili,spotify:track:1dFVnX4mJTnWubAPE8S3OR,662600,0.356,0.152,4,-20.155,1,0.0406,0.981,0.903,0.0807,0.04,132.413,1
Merry Christmas Mr. Lawrence (Arr. Metcalfe),Jess Gillam,Oscar Holch,spotify:track:5bVlEvO3SadcOyh6rnWW4P,277148,0.339,0.0588,10,-17.647,0,0.0373,0.984,0.862,0.12,0.198,105.916,1
"Hungarian Dance No.5 in G Minor, WoO 1, No.5",Johannes Brahms,Budapest Festival Orchestra,spotify:track:5d6FOGCa0EDqCJSpccEh8s,152160,0.359,0.046,6,-18.725,0,0.0407,0.901,0.118,0.277,0.263,127.653,4
"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": 2. Adagio un poco mosso - Live at Konzerthaus Berlin / 2018",Ludwig van Beethoven,Jan Lisiecki,spotify:track:76wXMaJVSr0nSsKsSdwAiu,473787,0.166,0.0363,11,-26.822,1,0.0381,0.978,0.922,0.0882,0.039,84.467,1
"Symphony No.5 in E flat, Op.82: 3. Allegro molto",Jean Sibelius,Boston Symphony Orchestra,spotify:track:7xGcLLeK1de0I71lH28DeM,482000,0.144,0.0868,8,-23.338,1,0.0387,0.891,0.904,0.177,0.0737,94.463,1
Pini di Roma (The Pines of Rome): III. I pini del Gianiclo,Ottorino Respighi,"Orchestra dell' Accademia Nazionale di Santa Cecilia, Roma",spotify:track:5CfxpBCYwfB17MMgARumHl,462162,0.0754,0.0102,4,-35.69,1,0.0464,0.901,0.106,0.0817,0.0331,81.324,4
"Cello Concerto No.1, Op.107: 1. Allegretto",Dmitri Shostakovich,Heinrich Schiff,spotify:track:7dchPojQcmY6eMBFJAo64i,359667,0.463,0.162,7,-24.484,0,0.045,0.963,0.825,0.0943,0.374,125.514,1
"Schumann: Widmung, Op. 25 No. 1 (Arr. Liszt, S. 566a)",Robert Schumann,Martin James Bartlett,spotify:track:5U7T2widXE5MqoQ6dmi3O9,239333,0.357,0.0464,8,-20.868,1,0.0434,0.992,0.859,0.109,0.0417,69.859,1
Pictures At An Exhibition: The Hut On Fowl's Legs (Baba-Yaga),Modest Mussorgsky,Orchestre Symphonique de Montréal,spotify:track:3QN7ups1LvVMASAe94yEEx,204093,0.253,0.177,7,-19.525,1,0.0346,0.894,0.573,0.668,0.242,89.052,1
"Ravel: Miroirs, M. 43: IV. Alborada del gracioso",Maurice Ravel,Bertrand Chamayou,spotify:track:68Faz6Nc9UnWuOz1oC2DEv,372347,0.413,0.135,2,-23.277,1,0.0436,0.994,0.902,0.0823,0.0715,145.802,1
Hedwig's Theme,John Williams,,spotify:track:1n8NKQRg8LVHy7oUhUgbFF,309093,0.156,0.162,2,-17.101,0,0.036,0.897,0.691,0.111,0.077,73.407,1
Carmina Burana: I. O Fortuna,Carl Orff,London Symphony Chorus,spotify:track:0qFZYO72iBOhW7X6KbL44Q,167640,0.339,0.0937,2,-20.267,1,0.0394,0.931,0.293,0.252,0.458,123.048,4
"Delius: 2 Pieces for Small Orchestra: No. 1, On Hearing the First Cuckoo in Spring",Frederick Delius,Vernon Handley,spotify:track:2dEbRirkEtImY7HdYxrgRS,349760,0.0716,0.0408,7,-28.284,1,0.0399,0.851,0.901,0.0844,0.0377,77.047,1
"St. Matthew Passion, BWV 244 / Part Two: ""Erbarme dich""",Johann Sebastian Bach,Anne Sofie von Otter,spotify:track:58Q96yWnuBqlKEGd2vGyAg,423107,0.24,0.0648,4,-25.208,0,0.0426,0.935,0.0272,0.258,0.0771,95.286,4
Appalachian Spring: VII. Doppio movimento,Aaron Copland,Leonard Bernstein,spotify:track:6vS8JCT9WqTFeAuu8smjRF,183267,0.186,0.124,1,-15.271,1,0.0434,0.978,0.865,0.111,0.248,77.903,1
Now Sleeps The Crimson Petal (Four Madrigals On Rose Texts): Now Sleeps The Crimson Petal,Paul Mealor,Tenebrae,spotify:track:2sTUcyPMXztxu2Y1DuxDZx,197400,0.161,0.0144,6,-30.883,1,0.0365,0.986,0.117,0.0836,0.0336,82.646,4
Nascence,Austin Wintory,,spotify:track:6zcP5A5Xv6bvCUpwXrswKa,106960,0.203,0.112,11,-18.029,0,0.0418,0.936,0.935,0.126,0.0374,72.483,1
"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live",Antonín Dvořák,London Symphony Orchestra,spotify:track:3jLcwFns5S9OYQojN8XAkJ,775307,0.154,0.00261,1,-36.267,1,0.0419,0.89,0.763,0.125,0.0366,83.549,1
"Carmen, Act I: No.5 Habanera : L'amour est un oiseau rebelle (Carmen/Cigarières/Jeunes gens/Dragons)",Georges Bizet,Angela Gheorghiu,spotify:track:3pzBD8BVdrv7VJ7glRYshl,275467,0.364,0.0592,2,-21.757,1,0.057,0.978,0.0,0.0823,0.185,123.789,4
"Violin Concerto No.1 in G minor, Op.26: 1. Vorspiel (Allegro moderato)",Max Bruch,Julia Fischer,spotify:track:3uLsZpdHrJsR9AjrrxMI66,473893,0.169,0.0974,3,-21.414,1,0.042,0.864,0.632,0.087,0.0524,170.379,1
Largo al factotum,Gioachino Rossini,Simon Keenlyside,spotify:track:5W7IiH2jDV6q6EQwBkq8ld,295973,0.379,0.251,0,-15.488,1,0.0991,0.986,0.0122,0.094,0.335,73.316,4
"Cello Concerto In B Minor, Op.104, B. 191: 1. Allegro",Antonín Dvořák,Mstislav Rostropovich,spotify:track:0neipEnwEzyd66aUqUsg5P,942000,0.231,0.133,2,-20.274,1,0.0437,0.963,0.659,0.135,0.0564,122.239,1
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,Vladimir Ashkenazy,spotify:track:2TB6PQkgnw9rrFRK4VOOrC,248933,0.411,0.0487,10,-25.68,1,0.0383,0.985,0.918,0.0944,0.101,128.859,1
An American in Paris,George Gershwin,James Thomson,spotify:track:4Fp4jZBAglz4C6BcnPqIi6,1141000,0.206,0.284,5,-16.033,1,0.0393,0.856,0.782,0.57,0.0872,133.603,1
Speaking Unto Nations (Beethoven Symphony no 7 - II ),Ludwig van Beethoven,Terry Davies,spotify:track:4EcOBeGY1r0j26Z8FJ1nVZ,302987,0.093,0.0249,4,-20.74,0,0.0463,0.513,0.805,0.0831,0.0365,79.369,1
"Trumpet Concerto in D Major, TWV 51:D7: I. Adagio",Georg Philipp Telemann,Niklas Eklund,spotify:track:7x5ULIYm82gnWvhYCXfzyj,119627,0.176,0.132,1,-16.932,1,0.0408,0.953,0.586,0.0886,0.0835,74.287,1
"Cavatina (From ""The Deer Hunter"")",Stanley Myers,Lars Hannibal,spotify:track:7FTzC8srNaQ0fTNOCyPeib,204007,0.366,0.0433,4,-30.56,1,0.0416,0.99,0.903,0.085,0.356,88.452,1
"Rhapsodie Orientale, Op.29: 1. Andante",Alexander Glazunov,Orchestre Symphonique de Montréal,spotify:track:3gEyQ5y2NvIaqfTG4VU98n,272440,0.0989,0.0176,1,-30.951,1,0.042,0.978,0.651,0.0763,0.0351,89.327,1
"Variations on a Rococo Theme, Op. 33 for cello and orchestra: Var. VI: Andante",Pyotr Ilyich Tchaikovsky,Jean-Guihen Queyras,spotify:track:123zFAGx0F5ScgrLrCWGDX,156573,0.204,0.0305,2,-31.159,1,0.0462,0.965,0.268,0.111,0.0394,114.214,1
Ombra Mai Fu,Malena Ernman,,spotify:track:29ym283kpgDLDvpHkBFmFN,176547,0.132,0.195,5,-16.485,1,0.0451,0.558,0.406,0.108,0.0492,163.425,1
St. Paul's Suite : 3. Intermezzo: Andante con moto,Gustav Holst,Christopher Hogwood,spotify:track:6oaSX9Q0uZi8x6DttspP5D,250253,0.251,0.0657,4,-20.757,0,0.0449,0.66,0.845,0.114,0.15,133.095,1
"Violin Concerto In E Minor, Op.64, MWV O14: 1. Allegro molto appassionato",Felix Mendelssohn,Kyung Wha Chung,spotify:track:2mPd1593fOWtbSGqA0VVcS,730667,0.278,0.151,4,-19.607,0,0.042,0.917,0.122,0.273,0.167,99.212,4
The Godfather: V. Love Theme,Nino Rota,Riccardo Muti,spotify:track:3Ii2KG3YLrC0KNbuJKAFj2,170400,0.099,0.0567,1,-20.712,1,0.0398,0.96,0.81,0.104,0.0456,82.744,1
"The Nutcracker, Op.71, TH.14 / Act 2: No. 12b Coffee (Arabian Dance)",Pyotr Ilyich Tchaikovsky,Mariinsky Orchestra,spotify:track:5eQKtxGSPvl9NEPXAuzzTJ,191160,0.156,0.00709,7,-34.153,0,0.0382,0.941,0.799,0.0986,0.041,97.925,1
Nimrod (Lux Aeterna),Edward Elgar,Voces8,spotify:track:0URENFI2Nk9oVMdhz4SQKM,232667,0.0987,0.0949,1,-21.002,1,0.0441,0.993,0.353,0.0847,0.0363,174.606,1
"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",Antonín Dvořák,Prague Chamber Orchestra,spotify:track:3sAYxq1986j3ydqLv6jwUJ,432533,0.0,0.0842,9,-19.397,1,0.0,0.755,0.889,0.262,0.0,0.0,1
"Symphony No. 6 in F Major, Op. 68 ""Pastoral"": I. Awakening of Cheerful Feelings Upon Arrival in the Country: Allegro ma non troppo",Ludwig van Beethoven,Bavarian Radio Symphony Orchestra,spotify:track:408VC5UfnAh3Uhl0RQpbkA,716933,0.302,0.0355,0,-24.074,1,0.0363,0.932,0.304,0.043,0.186,115.104,4
Concerto in F: 3. Allegro agitato,George Gershwin,Riccardo Chailly,spotify:track:6tw1Y3433P1soutA3ofgPU,389173,0.381,0.263,10,-13.643,1,0.0345,0.972,0.752,0.275,0.381,139.469,1
Orfeo Ed Euridice: Dance Of The Blessed Spirits (Act 2),Christoph Willibald Gluck,Karlheinz Zoeller,spotify:track:6GDuB7BvASYD9JePYvOEX1,410160,0.203,0.0641,5,-27.51,1,0.0529,0.972,0.94,0.101,0.0978,73.105,1
Fratres - For 12 Celli,Arvo Pärt,Die 12 Cellisten der Berliner Philharmoniker,spotify:track:4gIpYn3mS4jrlIVBRaEDHq,709667,0.11,0.0291,0,-20.525,1,0.0411,0.97,0.746,0.134,0.0297,75.137,1
"Comptine d'un autre été, l'après-midi",Yann Tiersen,,spotify:track:4O2N861eOnF9q8EtpH8IJu,140733,0.484,0.192,2,-15.378,1,0.0465,0.991,0.908,0.106,0.0559,100.084,1
"Trois chansons, M.69: 2. Trois beaux oiseaux du Paradis",Maurice Ravel,Nicola Jenkin,spotify:track:3U34uG4BRoMb0lrlrOhtxC,201000,0.201,0.0113,8,-37.468,1,0.0447,0.971,0.000853,0.0678,0.0387,128.673,4
"Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)",Johann Sebastian Bach,Víkingur Ólafsson,spotify:track:5Pl2CXDkaP6WEnJ0bpKGOm,326520,0.384,0.0414,11,-23.019,0,0.0378,0.992,0.897,0.0684,0.0618,71.224,1
Jazz Suite No.2: 4. Waltz I,Dmitri Shostakovich,Concertgebouworkest,spotify:track:18ZnvEB9bxLnvSogWRek79,204373,0.23,0.2,10,-18.457,1,0.0404,0.931,0.934,0.0855,0.185,103.923,1
Solomon HWV 67 / Act 3: The Arrival Of The Queen Of Sheba,George Frideric Handel,Academy of St. Martin in the Fields,spotify:track:1bTXAKwE2Hztv13xTAhMQB,191493,0.625,0.351,10,-15.884,1,0.0423,0.878,0.938,0.0569,0.794,116.961,3
"4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto",Franz Schubert,Radu Lupu,spotify:track:1M2RkUUJ9wXRsW3jN1MCHS,497773,0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,1
String Quartet: I. Modere,Germaine Tailleferre,Fanny Mendelssohn Quartet,spotify:track:2Cc5z5swQrDqZiyCkZ0TnF,147040,0.262,0.107,4,-17.973,1,0.0448,0.959,0.463,0.195,0.136,76.65,1
"Symphonie fantastique, Op. 14: Symphonie fantastique, Op. 14: IV. Marche au supplice",Hector Berlioz,Swedish Radio Symphony Orchestra,spotify:track:1SHixA41Vy0TTlJJSX9Gbo,431787,0.356,0.207,10,-17.76,1,0.0388,0.95,0.914,0.0802,0.328,146.755,1
"The Hebrides, Op.26 (Fingal's Cave)",Felix Mendelssohn,Wiener Philharmoniker,spotify:track:3Hcn3NlLeDU4uQf0qJaaMt,616187,0.219,0.154,11,-18.17,0,0.0389,0.841,0.855,0.164,0.108,123.625,1
Etude No. 2,Philip Glass,,spotify:track:5bi8ryL6gy6a1BRXOf43y9,295560,0.235,0.166,5,-19.632,1,0.0347,0.992,0.87,0.101,0.0356,101.182,1
"Die Zauberflöte, K.620 : Der Hölle Rache...Morden soll ich?",Wolfgang Amadeus Mozart,Cristina Deutekom,spotify:track:70Ax2DEt8sLsd0wplW4Jie,248760,0.37,0.286,5,-16.0,1,0.229,0.868,5.68e-05,0.32,0.187,70.985,4
"The Mausoleum at Halicarnassus - From ""Seven Wonders"" Suite",Stuart Mitchell,Czech National Symphony Orchestra,spotify:track:1ald8DqzpfzDTKo8tvYfkN,463582,0.0854,0.0411,11,-27.974,0,0.0427,0.948,0.768,0.0802,0.0526,74.814,1
"Symphony No. 104 in D Major, Hob.I:104 ""London"": 4. Finale (Spiritoso) - Live",Franz Joseph Haydn,Australian Chamber Orchestra,spotify:track:4TYZpMB5tGOdlMmnS2pB2m,381467,0.461,0.175,2,-17.217,1,0.037,0.848,0.762,0.0985,0.358,73.559,1
"Prelude & Fughetta in G Major, BWV 902: 1. Prelude",Johann Sebastian Bach,Víkingur Ólafsson,spotify:track:0nrCOJpS3gpwLvoANVZEeJ,206427,0.38,0.254,2,-24.967,1,0.0365,0.992,0.926,0.117,0.805,101.1,1
3 Pieces for cello and piano: No. 1. Modere,Nadia Boulanger,Nicolas Altstaedt,spotify:track:5a0nC0tGDJBpGMZu3PeekY,157067,0.164,0.0185,3,-30.778,0,0.0412,0.988,0.888,0.0801,0.078,86.65,1
"Symphony No.25 in G minor, K.183: 1. Allegro con brio",Wolfgang Amadeus Mozart,Academy of St. Martin in the Fields,spotify:track:1opln0FV3xQdUJxt9bWhgB,461000,0.441,0.176,7,-15.719,0,0.0376,0.989,0.888,0.108,0.325,79.599,1
